등록년도,자치구,시설유형,시설주소,설치심도(m),양수량(톤/일),모터펌프종류,모터펌프출력(KW),자가발전기종류,자가발전기출력(KW),용도구분,지번주소,latitude,longitude
2019,영등포구,정부지원,도림로 203(대림동),150,280,수중펌프,3,디 젤 엔 진,75,생활용수,대림동 751,37.493349,126.909117
2019,영등포구,정부지원,신길로 1(대림동),150,140,수중펌프,5.5,디 젤 엔 진,350,생활용수,대림동 948,37.492704,126.908085
2019,영등포구,정부지원,가마산로89길 7(신길동),180,280,수중펌프,5.5,디 젤 엔 진,75,생활용수,신길동 890,37.505349,126.921028
2019,영등포구,정부지원,여의대방로 53길 22(신길동),250,246,수중펌프,10,디 젤 엔 진,750,생활용수,신길동 451,37.517589,126.917794
2019,영등포구,정부지원,여의대방로 61길 55(신길동),250,130,수중펌프,7.5,디 젤 엔 진,520,생활용수,신길동 7,37.516108,126.921079
2019,영등포구,정부지원,국회대로76길18(여의도동),110,140,수중펌프,2,디 젤 엔 진,350,생활용수,여의도동 13,,
2019,영등포구,정부지원,63로 50 (여의도동),200,120,수중펌프,26,디 젤 엔 진,5000,생활용수,여의도동 60,,
2019,영등포구,공공지정,국회대로539 TCC center(당산동),220,16.438,수중펌프,7.5,디 젤 엔 진,500,생활용수,당산동4가 93,37.52915,126.89894
2019,영등포구,공공지정,경인로102길 13(영등포동),210,109.589,수중펌프,7.5,디 젤 엔 진,450,생활용수,영등포동 618,37.5222786,126.9078574
2019,영등포구,공공지정,영중로 15(영등포동),250,397.26,수중펌프,10,디 젤 엔 진,1500,생활용수,영등포동4가 442,37.51777,126.90368
2019,영등포구,공공지정,영등포로 36길 13 (영등포동),250,34.247,수중펌프,10,디 젤 엔 진,300,생활용수,영등포동4가 90,37.51777,126.90368
2019,영등포구,공공지정,영등포로 46길 7-6(영등포동),200,65.753,수중펌프,3,디 젤 엔 진,120,생활용수,영등포동3가 24,37.5198345,126.9078276
2019,영등포구,공공지정,영중로 41길 5 (영등포동),180,4500,수중펌프,5.5,디 젤 엔 진,350,생활용수,영등포동8가 69,37.52872,126.90411
2019,영등포구,공공지정,양평로21길 25(양평동),250,6580,수중펌프,10,디 젤 엔 진,115,생활용수,양평동4가 16,37.53689,126.89638
2019,영등포구,공공지정,국회대로 608(당산동),150,5000,수중펌프,3,디 젤 엔 진,600,생활용수,당산동3가 2,37.526685,126.8986748
