운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326)
사용중,영등포구청 지하2~3층,공공용시설,"서울특별시 영등포구 당산로 123, 영등포구청 (당산동3가)",서울특별시 영등포구 당산동3가 385-1 영등포구청,지하,552.64,669,37.5260455,126.8965251
사용중,영등포시장 지하쇼핑센터 지하 1층,공공용시설,"서울특별시 영등포구 영등포로 지하221, 영등포시장지하도상가 (영등포동3가)",서울특별시 영등포구 영등포동3가 31 영등포시장지하도상가,지하,1402.44,1699,37.51972175,126.9060517
사용중,영등포로터리 지하쇼핑센터 지하 1층,공공용시설,"서울특별시 영등포구 영중로 지하20, 영등포로터리지하도상가 (영등포동3가)",서울특별시 영등포구 영등포동3가 32 영등포로터리지하도상가,지하,1979.49,2399,37.51815559,126.9058016
사용중,영등포역 지하쇼핑센터 지하 1층,공공용시설,"서울특별시 영등포구 경인로 지하843, 영등포역지하도상가 (영등포동3가)",서울특별시 영등포구 영등포동3가 33 영등포역지하도상가,지하,1404.29,1702,37.51652537,126.9064213
사용중,지하철 5호선 신길역 지하 1~2층,공공용시설,"서울특별시 영등포구 경인로114가길 지하 9 (영등포동1가, 신길역)",서울특별시 영등포구 영등포동1가 35번지,지하,7476,9061,37.51768823,126.9142785
사용중,지하철 5호선 영등포시장역 지하 1층,공공용시설,"서울특별시 영등포구 양산로 지하200, 영등포시장역 (영등포동5가)",서울특별시 영등포구 영등포동5가 62-1 영등포시장역,지하,5448,6603,37.52267586,126.9051965
사용중,중소기업중앙회 지하2~3층,공공용시설,"서울특별시 영등포구 은행로 30, 중소기업중앙회 지하1층 (여의도동)",서울특별시 영등포구 여의도동 16-2 중소기업중앙회,지하,8018,9718,37.52848008,126.9224277
사용중,여의도국회앞지하보도 지하1층,공공용시설,"서울특별시 영등포구 의사당대로 38, 여의도더샵아일랜드파크 (여의도동)",서울특별시 영등포구 여의도동 17 여의도더샵아일랜드파크 앞 지하보도,지하,3666,4443,37.52599124,126.919157
사용중,지하철5호선여의나루역,공공용시설,"서울특별시 영등포구 여의동로 지하343, 여의나루역 지하1층 (여의도동)",서울특별시 영등포구 여의도동 84-4 여의나루역 지하1층,지하,5067.01,6141,37.52700532,126.9321779
사용중,5호선여의도역,공공용시설,"서울특별시 영등포구 여의나루로 지하40, 여의도역 지하1층 (여의도동)",서울특별시 영등포구 여의도동 3 여의도역 지하1층,지하,6823,8270,37.52197851,126.9246236
사용중,영등포역지하도 지하1층,공공용시설,"서울특별시 영등포구 경인로 846, 영등포 민자역사 (영등포동)",서울특별시 영등포구 영등포동 618-496 영등포 민자역사,지하,6669.48,8083,37.51561814,126.9076612
사용중,63한화생명빌딩 지하3층,공공용시설,"서울특별시 영등포구 63로 50, 63한화생명빌딩 지하1층 (여의도동)",서울특별시 영등포구 여의도동 60 63한화생명빌딩 지하1층,지하,10992,13323,37.52002428,126.9400697
사용중,지하철 2호선 영등포구청역 지하1~2층 역사,공공용시설,"서울특별시 영등포구 당산로 지하121, 영등포구청역 (당산동3가)",서울특별시 영등포구 당산동3가 270-1 영등포구청역,지하,7414.91,8987,37.52561276,126.8965457
사용중,지하철 5호선 영등포구청역 지하3~4층 역사,공공용시설,"서울특별시 영등포구 양산로 지하116, 영등포구청역 (당산동3가)",서울특별시 영등포구 당산동3가 556-1 영등포구청역,지하,10738,13015,37.52411005,126.8959144
사용중,유통상가 지하2층 주차장,공공용시설,"서울특별시 영등포구 영등포로 109, 영등포유통상가 (당산동2가)",서울특별시 영등포구 당산동2가 30-2 영등포유통상가,지하,13970,16933,37.5221776,126.8938882
사용중,동양타워빌딩 지하2층~지하5층,공공용시설,"서울특별시 영등포구 국회대로 543, 동양석판 사옥 (당산동4가)",서울특별시 영등포구 당산동4가 93-1 동양석판 사옥,지하,9700,11757,37.52908323,126.8952907
사용중,지하철2호선문래역 지하1층,공공용시설,"서울특별시 영등포구 당산로 지하28, 문래역 (문래동3가)",서울특별시 영등포구 문래동3가 68-1 문래역,지하,5800,7030,37.51725284,126.8946446
사용중,현대2차아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 문래로4길 4, 현대아파트 (문래동6가)",서울특별시 영등포구 문래동6가 45 현대아파트,지하,2115.71,2564,37.52039541,126.8835945
사용중,현대3차아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 선유서로 6(문래동5가, 현대3차아파트)",서울특별시 영등포구 문래동5가 21 현대3차아파트,지하,806.62,977,37.51625091,126.8840733
사용중,미원아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 문래로8길 5(문래동6가, 문래동미원아파트)",서울특별시 영등포구 문래동6가 54 문래동미원아파트,지하,1692.57,2051,37.519834,126.8860336
사용중,베어스타운아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 선유서로 40(문래동6가, 베어스타운아파트)",서울특별시 영등포구 문래동6가 38-1 베어스타운아파트,지하,6158.71,7465,37.51928211,126.884806
