등록년도,자치구,시설유형,시설주소,설치심도(m),양수량(톤/일),모터펌프종류,모터펌프출력(KW),자가발전기종류,자가발전기출력(KW),용도구분,위도,경도
2019,영등포구,정부지원,도림로 203(대림동),150,280,수중펌프,3,디 젤 엔 진,75,생활용수,37.4921431,126.8956839
2019,영등포구,정부지원,신길로 1(대림동),150,140,수중펌프,5.5,디 젤 엔 진,350,생활용수,37.496457,126.9080686
2019,영등포구,정부지원,가마산로89길 7(신길동),180,280,수중펌프,5.5,디 젤 엔 진,75,생활용수,37.5051306,126.9216771
2019,영등포구,정부지원,여의대방로 53길 22(신길동),250,246,수중펌프,10,디 젤 엔 진,750,생활용수,,
2019,영등포구,정부지원,여의대방로 61길 55(신길동),250,130,수중펌프,7.5,디 젤 엔 진,520,생활용수,,
2019,영등포구,정부지원,국회대로76길18(여의도동),110,140,수중펌프,2,디 젤 엔 진,350,생활용수,,
2019,영등포구,정부지원,63로 50 (여의도동),200,120,수중펌프,26,디 젤 엔 진,5000,생활용수,37.5197159,126.9401255
2019,영등포구,공공지정,국회대로539 TCC center(당산동),220,16.438,수중펌프,7.5,디 젤 엔 진,500,생활용수,,
2019,영등포구,공공지정,경인로102길 13(영등포동),210,109.589,수중펌프,7.5,디 젤 엔 진,450,생활용수,37.515923,126.9061525
2019,영등포구,공공지정,영중로 15(영등포동),250,397.26,수중펌프,10,디 젤 엔 진,1500,생활용수,37.5177985,126.9049251
2019,영등포구,공공지정,영등포로 36길 13 (영등포동),250,34.247,수중펌프,10,디 젤 엔 진,300,생활용수,,
2019,영등포구,공공지정,영등포로 46길 7-6(영등포동),200,65.753,수중펌프,3,디 젤 엔 진,120,생활용수,,
2019,영등포구,공공지정,영중로 41길 5 (영등포동),180,4500,수중펌프,5.5,디 젤 엔 진,350,생활용수,,
2019,영등포구,공공지정,양평로21길 25(양평동),250,6580,수중펌프,10,디 젤 엔 진,115,생활용수,37.5367275,126.8930601
2019,영등포구,공공지정,국회대로 608(당산동),150,5000,수중펌프,3,디 젤 엔 진,600,생활용수,,
2019,영등포구,공공지정,도신로 1-16(대림동),310,96,수중펌프,5.5,디 젤 엔 진,20(2017),생활용수,,
2019,영등포구,공공지정,대방천로 29-18(도림동),250,57,수중펌프,5.5,디 젤 엔 진,20,생활용수,37.5058875,126.8972535
2019,영등포구,공공지정,영등포로 343-10(신길동),280,100,수중펌프,5.5,디 젤 엔 진,20(2016),생활용수,,
2019,영등포구,공공지정,문래로 110(문래동),120,86,수중펌프,5.5,디 젤 엔 진,200,생활용수,37.5188188,126.8967252
2019,영등포구,공공지정,대림로31 나길 17(대림동),160,92,수중펌프,5.5,디 젤 엔 진,20(2016),생활용수,,
2019,영등포구,공공지정,버드나루로 130(당산동),220,300,수중펌프,5.5,디 젤 엔 진,20(2016),음용수,37.5320757,126.905965
2019,영등포구,공공지정,당산로27길12(당산동),150,72,수중펌프,5.5,디 젤 엔 진,20(2015),생활용수,,
2019,영등포구,민간지정,영중로 15(영등포동),250,550,수중펌프,10,디 젤 엔 진,1500,생활용수,37.5177985,126.9049251
2019,영등포구,민간지정,영등포로 36길 13 (영등포동),250,250,수중펌프,10,디 젤 엔 진,300,생활용수,,
