,,,,,,,,,,,,
,면적 ㎢,사용중인 대피소,시설면적 (제곱미터),수용가능인원,시설면적 대비 수용인원비,24년 9월기준 인구,인구대비 수용인원비,남자,여자,남여비율,생활인구??,외국인?
서울특별시 영등포구,24.55,103,1265120.33,1533417,0.825,374653,4.09,183189,191464,0.96,,
서울특별시 마포구,23.85,136,882584.89,1069733,0.825,362564,2.95,168948,193616,0.87,,
서울특별시 종로구,23.91,109,630794.72,764533,0.825,138879,5.51,66846,72033,0.93,,
서울특별시 중구,9.96,73,642092,778254,0.825,121324,6.41,58447,62877,0.93,,
서울특별시 용산구,21.87,64,770863.89,934348,0.825,205145,4.55,98118,107027,0.92,,
서울특별시 성동구,16.82,123,1603699.03,1943803,0.825,275403,7.06,133271,142132,0.94,,
서울특별시 광진구,17.06,79,387279.43,469389,0.825,333403,1.41,159948,173455,0.92,,
서울특별시 동대문구,14.22,76,1031461,1250215,0.825,340686,3.67,166693,173993,0.96,,
서울특별시 중랑구,18.5,161,1637413.03,1984654,0.825,380353,5.22,186052,194301,0.96,,
서울특별시 성북구,24.58,112,2083169.09,2524987,0.825,423439,5.96,202975,220464,0.92,,
서울특별시 강북구,23.6,79,4655333.02,5642779,0.825,284313,19.85,137246,147067,0.93,,
서울특별시 도봉구,20.65,101,973295.73,1179701,0.825,304255,3.88,147261,156994,0.94,,
서울특별시 노원구,35.44,174,818774.02,992358,0.825,493486,2.01,236548,256938,0.92,,
서울특별시 은평구,29.71,110,1305242.86,1582054,0.825,462514,3.42,219045,243469,0.9,,
서울특별시 서대문구,17.63,115,751692.5,911081,0.825,304523,2.99,144288,160235,0.9,,
서울특별시 양천구,17.41,117,1003879,1216759,0.825,432523,2.81,210874,221649,0.95,,
서울특별시 강서구,41.45,166,2009788.31,2436023,0.825,557662,4.37,267019,290643,0.92,,
서울특별시 구로구,20.12,147,2010358.55,2436712,0.825,389416,6.26,190695,198721,0.96,,
서울특별시 금천구,13.02,74,532636.72,645585,0.825,226003,2.86,113632,112371,1.01,,
서울특별시 동작구,16.36,104,1841600.14,2232172,0.825,377137,5.92,182205,194932,0.93,,
서울특별시 관악구,29.57,160,1217360.85,1475466,0.825,479774,3.08,241605,238169,1.01,,
서울특별시 서초구,46.97,137,1243185.92,1506817,0.825,408060,3.69,194085,213975,0.91,,
서울특별시 강남구,39.5,164,1310191.91,1588038,0.825,558508,2.84,267096,291412,0.92,,
서울특별시 송파구,33.88,120,2016214.15,2443842,0.825,651882,3.75,312684,339198,0.92,,
서울특별시 강동구,24.59,132,2034767.97,2466319,0.825,465090,5.3,227021,238069,0.95,,
#참고:,여의도 면적(윤중로 제방 안쪽 기준) : 2.9㎢,,,,,,,,,,,
